new_id, ''casrn'', ''iupac name'', ''smiles'', ''inchi'', ''inchi key'', ''mol formula'',mol weight,logP,Net charge,#H-bond donors,#H-bond acceptors,#Rotatable bonds,Rings,TPSA,Hetero atoms,#Heavy atoms,#Aromatic heavy atoms, ''Melting Point'', ''Boiling point @ 760.00 mm Hg'', ''VaporPressuremmHg@25.00'', ''Vapor Density ( Air = 1 )'',Fraction Csp3,MR,iLOGP,XLOGP3,WLOGP,MLOGP,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l), ''ESOL Class'',Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l), ''Ali Class'',Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l), ''Silicos-IT class'', ''GI absorption'',BBB permeant,Pgp substrate,log Kp (cm/s),Bioavailability Score,Caco02,Human Intestinal Absorption,Plasma protein binding
4529, ''569-57-3''," ''1-[1-chloro-2,2-bis(4-methoxyphenyl)ethenyl]-4-methoxybenzene''", ''COC1=CC=C(C=C1)C(=C(C2=CC=C(C=C2)OC)Cl)C3=CC=C(C=C3)OC''," ''1S/C23H21ClO3/c1-25-19-10-4-16(5-11-19)22(17-6-12-20(26-2)13-7-17)23(24)18-8-14-21(27-3)15-9-18/h4-15H,1-3H3''", ''BFPSDSIWYFKGBC-UHFFFAOYSA-N'', ''C23H21ClO3'',380.86,5.868,0,0,3,6,3,27.69,4,27,18, ''114-116'', ''null'', ''null'', ''null'',0.13,110.57,4.27,6.41,5.87,4.34,-6.34,0,0, ''Poorly soluble'',-6.78,0,0, ''Poorly soluble'',-8.46,0,0, ''Poorly soluble'', ''High'',1,1,-4.07,0.55,1,1,0.922
4530, ''573-58-0'', ''disodium;4-amino-3-[[4-[4-[(1-amino-4-sulfonatonaphthalen-2-yl)diazenyl]phenyl]phenyl]diazenyl]naphthalene-1-sulfonate'', ''C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]''," ''1S/C32H24N6O6S2.2Na/c33-31-25-7-3-1-5-23(25)29(45(39,40)41)17-27(31)37-35-21-13-9-19(10-14-21)20-11-15-22(16-12-20)36-38-28-18-30(46(42,43)44)24-6-2-4-8-26(24)32(28)34;;/h1-18H,33-34H2,(H,39,40,41)(H,42,43,44);;/q;2*+1/p-2''", ''IQFVPQOLBLOTPF-UHFFFAOYSA-L'', ''C32H24N6O6S2'',696.66,8.149,-2,2,10,7,6,232.64,14,48,32, ''>360'', ''null'', ''null'', ''null'',0,172.95,-24.06,5.73,9.64,4.12,-7.8,0,0, ''Poorly soluble'',-10.38,0,0, ''Insoluble'',-11.1,0,0, ''Insoluble'', ''Low'',0,1,-6.48,0.17,0,1,0.898
4531, ''584-08-7'', ''dipotassium;carbonate'', ''C(=O)([O-])[O-].[K+].[K+]''," ''1S/CH2O3.2K/c2-1(3)4;;/h(H2,2,3,4);;/q;2*+1/p-2''", ''BWHMMNNQKKPAPP-UHFFFAOYSA-L'', ''K2CO3'',138.21,null,null,0,3,0,0,63.19,null,6,0,891, ''null'', ''null'', ''null'',0,6.77,0,-0.13,-2.45,-1.6,-0.61,33.5,0.243, ''Very soluble'',-0.74,25,0.18, ''Very soluble'',1.49,4260,30.8, ''Soluble'', ''Low'',0,0,-7.24,0.55,0,1,0.421
4532, ''586-38-9'', ''3-methoxybenzoic acid'', ''COC1=CC=CC(=C1)C(=O)O''," ''1S/C8H8O3/c1-11-7-4-2-3-6(5-7)8(9)10/h2-5H,1H3,(H,9,10)''", ''XHQZJYCNDZAGLW-UHFFFAOYSA-N'', ''C8H8O3'',152.15,1.393,-1,1,3,2,1,46.53,3,11,6,107, ''null'', ''null'', ''null'',0.12,39.89,1.53,2.02,1.39,1.32,-2.33,0.716,0.005, ''Soluble'',-2.62,0.36,0, ''Soluble'',-1.88,2,0.01, ''Soluble'', ''High'',1,0,-5.79,0.85,1,1,0.765
4533, ''592-04-1'', ''dicyanomercury'', ''C(#N)[Hg]C#N'', ''1S/2CN.Hg/c2*1-2;'', ''FQGYCXFLEQVDJQ-UHFFFAOYSA-N'', ''C2HgN2'',252.62,null,null,0,2,0,0,47.58,null,5,0, ''Decomposes at 320'', ''null'', ''null'', ''null'',0,11.23,0,0.13,0.03,-1.41,-1.49,8.21,0.033, ''Very soluble'',-0.69,52.1,0.21, ''Very soluble'',-0.75,44.9,0.18, ''Soluble'', ''High'',0,0,-7.75,0.55,1,1,0.681
4534, ''592-31-4'', ''butylurea'', ''CCCCNC(=O)N''," ''1S/C5H12N2O/c1-2-3-4-7-5(6)8/h2-4H2,1H3,(H3,6,7,8)''", ''CNWSQCLBDWYLAN-UHFFFAOYSA-N'', ''C5H12N2O'',116.16,0.455,0,2,1,4,0,55.12,3,8,0,97, ''null'', ''null'', ''null'',0.8,32.25,1.11,0.41,0.45,0.42,-0.55,32.4,0.279, ''Very soluble'',-1.13,8.53,0.07, ''Very soluble'',-1.07,9.91,0.09, ''Soluble'', ''High'',0,0,-6.72,0.55,1,1,0.379
4535, ''98-92-0'', ''pyridine-3-carboxamide'', ''C1=CC(=CN=C1)C(=O)N''," ''1S/C6H6N2O/c7-6(9)5-2-1-3-8-4-5/h1-4H,(H2,7,9)''", ''DFPAKSUCGFBDDF-UHFFFAOYSA-N'', ''C6H6N2O'',122.12,0.181,0,1,2,1,1,55.98,3,9,6, ''130.00 to 132.00'', ''334.41 '', ''null'', ''null'',0,32.33,0.7,-0.37,0.18,-0.43,-0.79,19.7,0.162, ''Very soluble'',-0.34,55.5,0.45, ''Very soluble'',-1.57,3.3,0.03, ''Soluble'', ''High'',0,0,-7.31,0.55,1,1,0.296
4536, ''592-85-8'', ''mercury(2+);dithiocyanate'', ''C(#N)[S-].C(#N)[S-].[Hg+2]'', ''1S/2CHNS.Hg/c2*2-1-3;/h2*3H;/q;;+2/p-2'', ''GBZANUMDJPCQHY-UHFFFAOYSA-L'', ''C2HgN2S2'',316.75,null,null,0,2,0,null,47.58,null,7,0, ''null'', ''null'', ''null'', ''null'',0,25.96,0,1.13,0.03,-1.41,-2.52,0.966,0.003, ''Soluble'',-1.72,5.99,0.02, ''Very soluble'',0.1,400,1.26, ''Soluble'', ''High'',0,0,-7.43,0.55,1,1,0.34
4537, ''592-87-0'', ''lead(2+);dithiocyanate'', ''C(#N)[S-].C(#N)[S-].[Pb+2]'', ''1S/2CHNS.Pb/c2*2-1-3;/h2*3H;/q;;+2/p-2'', ''VRNINGUKUJWZTH-UHFFFAOYSA-L'', ''Pb(CNS)2'',323.36,null,null,0,2,0,0,47.58,null,7,0, ''null'', ''null'', ''null'', ''null'',0,31.71,0,1.13,-0.35,-1.41,-2.56,0.897,0.003, ''Soluble'',-1.72,6.12,0.02, ''Very soluble'',0.1,408,1.26, ''Soluble'', ''High'',0,0,-7.47,0.55,1,1,0.528
4538, ''603-35-0'', ''triphenylphosphane'', ''C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3'', ''1S/C18H15P/c1-4-10-16(11-5-1)19(17-12-6-2-7-13-17)18-14-8-3-9-15-18/h1-15H'', ''RIOQSEWOXXDEQQ-UHFFFAOYSA-N'', ''C18H15P'',262.29,3.445,null,0,0,3,3,13.59,1,19,18,80.5, ''null'', ''null'', ''null'',0,85.15,3.29,5.69,3.44,5.16,-5.55,0.001,0, ''Moderately soluble'',-5.74,0,0, ''Moderately soluble'',-7.54,0,0, ''Poorly soluble'', ''High'',1,0,-3.86,0.55,1,1,0.976
